Entity,Year,CO2 intensity- (kgCO2/2011-$ PPP)- World Bank
Austria,2002,0.208862279
Austria,2003,0.223131325
Austria,2004,0.217817137
Austria,2005,0.219175756
Austria,2006,0.206201829
Austria,2007,0.192270679
Austria,2008,0.187259855
Austria,2009,0.177948051
Austria,2010,0.187854023
Austria,2011,0.175788805
Austria,2012,0.166437751
Austria,2013,0.166662132
Azerbaijan,1992,1.200632997
Azerbaijan,1993,1.345070196
Azerbaijan,1994,1.451174547
Azerbaijan,1995,1.30654169
Azerbaijan,1996,1.209465219
Azerbaijan,1997,1.090187998
Azerbaijan,1998,1.053136794
Azerbaijan,1999,0.884651013
Azerbaijan,2000,0.822218508
Azerbaijan,2001,0.729463991
Azerbaijan,2002,0.678885825
Azerbaijan,2003,0.631146391
Azerbaijan,2004,0.600304681
Azerbaijan,2005,0.508192644
Azerbaijan,2006,0.430979489
Azerbaijan,2007,0.268465073
Azerbaijan,2008,0.282031682
Azerbaijan,2009,0.231628747
Azerbaijan,2010,0.212424526
Azerbaijan,2011,0.231442466
Azerbaijan,2012,0.2407367
Azerbaijan,2013,0.228109792
Bahamas,1990,0.313436418
Bahamas,1991,0.298831252
Bahamas,1992,0.31263604
Bahamas,1993,0.295742287
Bahamas,1994,0.284242235
Bahamas,1995,0.271726106
Bahamas,1996,0.258442716
Bahamas,1997,0.207028791
Bahamas,1998,0.24340992
Bahamas,1999,0.226683867
Bahamas,2000,0.216700383
Bahamas,2001,0.198626059
Bahamas,2002,0.194299146
Bahamas,2003,0.189465668
Bahamas,2004,0.213211464
Bahamas,2005,0.208403753
Bahamas,2006,0.194299851
Bahamas,2007,0.194482432
Bahamas,2008,0.176218487
Bahamas,2009,0.201925732
Bahamas,2010,0.298298445
Bahamas,2011,0.229420056
Bahamas,2012,0.223834627
Bahamas,2013,0.362891399
Bahrain,1990,0.71365351
Bahrain,1991,0.613203822
Bahrain,1992,0.527551796
Bahrain,1993,0.627756121
Bahrain,1994,0.635633781
Bahrain,1995,0.612811217
Bahrain,1996,0.620518856
Bahrain,1997,0.667320018
Bahrain,1998,0.676727072
Bahrain,1999,0.6352537
Bahrain,2000,0.624150386
Bahrain,2001,0.454938602
Bahrain,2002,0.494907454
Bahrain,2003,0.489686168
Bahrain,2004,0.486678006
Bahrain,2005,0.500021765
Bahrain,2006,0.460407565
Bahrain,2007,0.602664441
Bahrain,2008,0.629270473
Bahrain,2009,0.565881512
Bahrain,2010,0.578793282
Bahrain,2011,0.571965005
Bahrain,2012,0.546174778
Bahrain,2013,0.569254319
Bangladesh,1990,0.113578283
Bangladesh,1991,0.112629104
Bangladesh,1992,0.118929582
Bangladesh,1993,0.111395879
Bangladesh,1994,0.116847142
Bangladesh,1995,0.133694947
Bangladesh,1996,0.134714277
Bangladesh,1997,0.134473799
Bangladesh,1998,0.122673196
Bangladesh,1999,0.122990074
Bangladesh,2000,0.128993632
Bangladesh,2001,0.142967777
Bangladesh,2002,0.142994693
Bangladesh,2003,0.144484976
Bangladesh,2004,0.145110158
Bangladesh,2005,0.142619342
Bangladesh,2006,0.14745897
Bangladesh,2007,0.140474207
Bangladesh,2008,0.147878874
Bangladesh,2009,0.152890699
Bangladesh,2010,0.161417103
Bangladesh,2011,0.160661124
Bangladesh,2012,0.16009948
Bangladesh,2013,0.154308722
Barbados,1990,0.310297825
Barbados,1991,0.362563148
Barbados,1992,0.312023574
Barbados,1993,0.352443248
Barbados,1994,0.231870558
Barbados,1995,0.251781998
Barbados,1996,0.248606076
Barbados,1997,0.251678244
Barbados,1998,0.30670637
Barbados,1999,0.324386979
Barbados,2000,0.304911158
Barbados,2001,0.320979587
Barbados,2002,0.320372849
Barbados,2003,0.323860716
Barbados,2004,0.325829163
Barbados,2005,0.327608048
Barbados,2006,0.314234513
Barbados,2007,0.307135373
Barbados,2008,0.363490161
Barbados,2009,0.377905928
Barbados,2010,0.344461629
Barbados,2011,0.353752975
Barbados,2012,0.339167644
Barbados,2013,0.334333952
Belgium,1990,0.34655552
Belgium,1991,0.356073987
Belgium,1992,0.353893178
Belgium,1993,0.343556163
Belgium,1994,0.347293451
Belgium,1995,0.339182107
Belgium,1996,0.350897103
Belgium,1997,0.330556558
Belgium,1998,0.332675625
Belgium,1999,0.310064823
Belgium,2000,0.301439535
Belgium,2001,0.297479121
Belgium,2002,0.273858897
Belgium,2003,0.285943626
Belgium,2004,0.271488206
Belgium,2005,0.259713404
Belgium,2006,0.250024462
Belgium,2007,0.233842296
Belgium,2008,0.234121688
Belgium,2009,0.229998406
Belgium,2010,0.24069742
Belgium,2011,0.217064385
Belgium,2012,0.202037572
Belgium,2013,0.20529337
Belarus,1992,1.188329866
Belarus,1993,1.129405694
Belarus,1994,1.083912937
Belarus,1995,1.130080613
Belarus,1996,1.088289296
Belarus,1997,0.967036252
Belarus,1998,0.8702931
Belarus,1999,0.812883607
Belarus,2000,0.736487536
Belarus,2001,0.689831928
Belarus,2002,0.652272383
Belarus,2003,0.622444562
Belarus,2004,0.60678024
Belarus,2005,0.564260818
Belarus,2006,0.538143667
Belarus,2007,0.48317443
Belarus,2008,0.457153926
Belarus,2009,0.438584589
Belarus,2010,0.420460108
Belarus,2011,0.40471688
Belarus,2012,0.395124613
Belarus,2013,0.394306082
Belize,1990,0.321559515
Belize,1991,0.335519573
Belize,1992,0.296419563
Belize,1993,0.296165761
Belize,1994,0.292827877
Belize,1995,0.293806701
Belize,1996,0.236234217
Belize,1997,0.287898564
Belize,1998,0.264426367
Belize,1999,0.228642233
Belize,2000,0.240593504
Belize,2001,0.22707504
Belize,2002,0.19287324
Belize,2003,0.185240387
Belize,2004,0.182066046
Belize,2005,0.185706147
Belize,2006,0.185425976
Belize,2007,0.194280363
Belize,2008,0.158091528
Belize,2009,0.176256689
Belize,2010,0.212514387
Belize,2011,0.230795569
Belize,2012,0.178798224
Belize,2013,0.189951813
Benin,1990,0.097189981
Benin,1991,0.108227337
Benin,1992,0.114973079
Benin,1993,0.137010684
Benin,1994,0.149943631
Benin,1995,0.148363302
Benin,1996,0.135535044
Benin,1997,0.123353961
Benin,1998,0.118296668
Benin,1999,0.144528943
Benin,2000,0.139733282
Benin,2001,0.150613809
Benin,2002,0.164864204
Benin,2003,0.180456631
Benin,2004,0.18410695
Benin,2005,0.172805226
Benin,2006,0.268841055
Benin,2007,0.294490663
Benin,2008,0.275485376
Benin,2009,0.284460011
Benin,2010,0.304205966
Benin,2011,0.308011305
Benin,2012,0.30524827
Benin,2013,0.299543075
Bhutan,1990,0.102733041
Bhutan,1991,0.150309794
Bhutan,1992,0.166239311
Bhutan,1993,0.138136867
Bhutan,1994,0.152678866
Bhutan,1995,0.167176544
Bhutan,1996,0.190967569
Bhutan,1997,0.236481267
Bhutan,1998,0.217016527
Bhutan,1999,0.202903468
Bhutan,2000,0.195169558
Bhutan,2001,0.175361888
Bhutan,2002,0.171946736
Bhutan,2003,0.144296052
Bhutan,2004,0.111125898
Bhutan,2005,0.133376344
Bhutan,2006,0.123670718
Bhutan,2007,0.104871616
Bhutan,2008,0.107582566
Bhutan,2009,0.092973601
Bhutan,2010,0.104407646
Bhutan,2011,0.14552104
Bhutan,2012,0.154424021
Bhutan,2013,0.163388155
Bermuda,1990,0.246919336
Bermuda,1991,0.213305135
Bermuda,1992,0.173908072
Bermuda,1993,0.19492046
Bermuda,1994,0.192232999
Bermuda,1995,0.178287245
Bermuda,1996,0.176617101
Bermuda,1997,0.167488307
Bermuda,1998,0.158580289
Bermuda,1999,0.162265484
Bermuda,2000,0.147275864
Bermuda,2001,0.137355454
Bermuda,2002,0.148197819
Bermuda,2003,0.135879052
Bermuda,2004,0.128646602
Bermuda,2005,0.11020203
Bermuda,2006,0.137284398
Bermuda,2007,0.187067773
Bermuda,2008,0.163882956
Bermuda,2009,0.121215922
Bermuda,2010,0.155759226
Bermuda,2011,0.11155881
Bermuda,2012,0.131336712
Bermuda,2013,0.110225236
Bolivia,1990,0.215246001
Bolivia,1991,0.214618794
Bolivia,1992,0.242018195
Bolivia,1993,0.284220118
Bolivia,1994,0.301072976
Bolivia,1995,0.304494453
Bolivia,1996,0.308845823
Bolivia,1997,0.324006409
Bolivia,1998,0.320494441
Bolivia,1999,0.313207125
Bolivia,2000,0.277840334
Bolivia,2001,0.262556922
Bolivia,2002,0.249495166
Bolivia,2003,0.358730804
Bolivia,2004,0.318887947
Bolivia,2005,0.284415952
Bolivia,2006,0.335346414
Bolivia,2007,0.262674683
Bolivia,2008,0.265632858
Bolivia,2009,0.271603425
Bolivia,2010,0.283465378
Bolivia,2011,0.286152129
Bolivia,2012,0.316845117
Bolivia,2013,0.311031632
Bosnia and Herzegovina,1994,0.555810188
Bosnia and Herzegovina,1995,0.488309608
Bosnia and Herzegovina,1996,0.32088644
Bosnia and Herzegovina,1997,0.470759788
Bosnia and Herzegovina,1998,0.51397653
Bosnia and Herzegovina,1999,0.459379518
Bosnia and Herzegovina,2000,0.578522929
Bosnia and Herzegovina,2001,0.537044908
Bosnia and Herzegovina,2002,0.54584391
Bosnia and Herzegovina,2003,0.531713335
Bosnia and Herzegovina,2004,0.53995652
Bosnia and Herzegovina,2005,0.515367478
Bosnia and Herzegovina,2006,0.530122948
Bosnia and Herzegovina,2007,0.503911246
Bosnia and Herzegovina,2008,0.545404051
Bosnia and Herzegovina,2009,0.576844278
Bosnia and Herzegovina,2010,0.588269071
Bosnia and Herzegovina,2011,0.654514661
Bosnia and Herzegovina,2012,0.615647509
Bosnia and Herzegovina,2013,0.591743275
Botswana,1990,0.24183128
Botswana,1991,0.219549402
Botswana,1992,0.224897775
Botswana,1993,0.253857274
Botswana,1994,0.23232817
Botswana,1995,0.218117341
Botswana,1996,0.186508675
Botswana,1997,0.175405841
Botswana,1998,0.207884075
Botswana,1999,0.179166468
Botswana,2000,0.210116593
Botswana,2001,0.213453911
Botswana,2002,0.207947598
Botswana,2003,0.191242972
Botswana,2004,0.189593388
Botswana,2005,0.190542322
Botswana,2006,0.177567251
Botswana,2007,0.167773866
Botswana,2008,0.168174482
Botswana,2009,0.158698072
Botswana,2010,0.178527679
Botswana,2011,0.154445509
Botswana,2012,0.149458546
Botswana,2013,0.165877894
Brazil,1990,0.135202487
Brazil,1991,0.139847727
Brazil,1992,0.141384666
Brazil,1993,0.141223463
Brazil,1994,0.140704291
Brazil,1995,0.14376389
Brazil,1996,0.155051707
Brazil,1997,0.158261714
Brazil,1998,0.163890125
Brazil,1999,0.167243213
Brazil,2000,0.164555697
Brazil,2001,0.166976124
Brazil,2002,0.159547895
Brazil,2003,0.152693985
Brazil,2004,0.151652284
Brazil,2005,0.151071683
Brazil,2006,0.145464824
Brazil,2007,0.143272186
Brazil,2008,0.145492401
Brazil,2009,0.137977723
Brazil,2010,0.146703705
Brazil,2011,0.147704047
Brazil,2012,0.155017109
Brazil,2013,0.161268562
Brunei,1990,0.282656927
Brunei,1991,0.234934287
Brunei,1992,0.220235757
Brunei,1993,0.209221733
Brunei,1994,0.191614167
Brunei,1995,0.187125526
Brunei,1996,0.184954148
Brunei,1997,0.195066086
Brunei,1998,0.204263996
Brunei,1999,0.147039892
Brunei,2000,0.172337283
Brunei,2001,0.160424744
Brunei,2002,0.150046165
